Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0608_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0609_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0610_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0611_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0612_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0613_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0614_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0615_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0616_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0617_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0618_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0619_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0620_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0621_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0622_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0623_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0624_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0625_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0626_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0627_,1.1,5.245e-07,0.000e+00,2.507e-08,5.495e-07
_0628_,1.1,4.707e-07,0.000e+00,2.269e-08,4.934e-07
_0629_,1.1,9.369e-08,0.000e+00,1.435e-08,1.080e-07
_0630_,1.1,2.745e-07,0.000e+00,2.120e-08,2.957e-07
_0631_,1.1,2.951e-07,0.000e+00,2.120e-08,3.163e-07
_0632_,1.1,4.932e-07,0.000e+00,3.340e-08,5.266e-07
_0633_,1.1,5.033e-07,0.000e+00,2.269e-08,5.260e-07
_0634_,1.1,1.094e-08,0.000e+00,8.200e-08,9.294e-08
_0635_,1.1,1.713e-09,0.000e+00,2.559e-08,2.730e-08
